"ID","longitude","latitude","name","description","image"
"b4257f6c-c22b-4f67-9c55-cc46ab9728e4","10.612710592933832","51.73093999077549","Parkplatz 156 mit Seilbahnen ","Parkplatz",
"efcb4478-e148-4940-9e23-de91e8c44b2b","10.460412707099556","51.79885785941264","Parkplatz für 134, 149","Parkplatz",
"f9898e59-7780-48f6-a61c-0667ef4aae31","10.91911237645709","51.740765174693706","Parkplatz für 62","Parkplatz",
"2eca32a7-badb-4cda-8c3a-48a6d08dd77a","11.166263571245718","51.66903872096095","179 Drive in Stempel ","Parkplatz",
"58096d1b-6bba-4d85-be1e-d2a15991377c","10.851069688796997","51.754648517860176","Parkplatz für 88 leichter Weg ","Parkplatz",
"120b921b-d213-4ddf-acc9-2827b0f2d396","10.427661","51.83576","Schulenberg im Oberharz - 17 Tannenhöhe","Parkplatz am Ende einer Sackgasse in der Nähe der Okertalsperre. In der Nähe am Waldrand Bänke zum Rasten.",
"b97e73d3-0882-406a-a896-262cd71515b3","10.552319","51.77618","Sankt Andreasberg - 10 Oderbrück-Süd","Kleiner kostenloser Parkplatz für Transporter und Kastenwagen, perfekt für Wanderungen, direkt an der Straße.",
"980fae6e-20a5-408a-b4de-a6d8bf0eabb5","10.536247","51.804067","Großparkplatz Brockenblick","Parkplatz an der Bavaria Alm mit Aussicht auf den Brocken. Für eine Nacht super. Vorsicht! Platzwart  gibt falsche Infos bezüglich der Uhrzeit, wann man den Platz verlassen soll, laut Platzwart sollte ich um 6 Uhr wegfahren. Das kam mir komisch vor also habe ich den Betreiber angerufen und es hat sich ergeben, dass ich im laufe des Vormittags abfahren darf, ohne etwas dazu zahlen zu müssen.",
"09eabbb2-9094-4cc3-87a7-87a06445229f","10.371149","51.830951","Clausthal-Zellerfeld - 13 Sonderweg","Parkplatz mit Schotter 150 Meter von einem Badesee entfernt mit vielen gemütlichen Badebuchten und Grillmöglichkeiten",
"2bc05b08-8a52-442a-a1a1-3f839487bde3","10.50255","51.68997","Sankt Andreasberg -","Platz, der vermutlich auch für das lagern der Holzwirtschaft genutzt wird (sieht man auf Sattelitenfotos in Maps). kleiner Fluss der zu hören ist, anliegende Straße nachts sehr ruhig. Wir blieben von 21:30 bis 9:30 und sind niemandem begegnet.",
"2ef45a4d-f6d8-4ca7-b1c2-c94ab472fb3a","10.528883","51.838529","Bad Harzburg -","Großer kostenfreier Parkplatz (ca. 25 Parkplätze) direkt an der Bundesstraße. Wohnmobile sind zwischen 22 und 6 Uhr nicht erlaubt.",
"90b15acb-fcf4-468c-9691-f830df8f23b4","10.309576","51.833165","Wildemann - Unnamed Road","Ganz ruhiger Platz mitten im Wald super zum Wandern und Radfahren ohne Versorgung. LTE funktioniert",
"26b70270-cfd1-4603-82b4-9c8b9ee1c292","10.330264","51.847452","Goslar - 1 Am Grumbach","Schöner, recht großer Parkplatz in der Nähe des Spielplatzes und des Liebesbankwegs. Man hört die Straße, aber wir haben trotzdem zwei schöne Nächte hier verbracht.",
"64c29519-b13f-4307-8c0c-010a24884328","10.620733","51.582008","Walkenried - 5 Klosterweg","Parkplatz am Kloster Walkenried, ohne Service aber sehr schön ruhig. Mehrere Gaststätten befinden sich in der Nähe. Bis 22h darf mit Wohnmobiles geparkt werden.",
"8c68ff27-abd4-49a2-8684-70bc0b015293","10.791433","51.77926","Elbingerode (Harz","Schöner Parkplatz im Wald und sehr nettes Restaurant um die Ecke..",
"3811ace6-6a59-4137-9350-f149d157a7a2","10.425335907825666","51.89167861448149","Parkplatz für 114 am Maltermeister Turm ","Parkplatz",
"59598295-37af-4bc8-abbf-996f149334fe","10.869569395267717","51.52031318390801","Parkplatz","Parkplatz",
"5b351b53-aee1-4461-865d-37f3720bf5ba","10.395247933675384","51.790516253775074","Parkplatz","Parkplatz",
"87476a2c-8dad-4004-b693-2c68fdfa7db1","10.547585","51.85109","Radau-Waterfall für 1,19,121, 122, 169, 170,","Parkplatz am Loipenstart am Eckerstausee und Brocken.",
"658add53-7934-49ca-88a0-ee7f9fcb8824","11.310481021271128","51.533815313269294","Parkplatz","Parkplatz",
"aa06f284-81f1-4b7f-b8d4-aca03a124b1f","10.860284325076286","51.83628237147608","Parkplatz für 83","Parkplatz",
"330a9894-b5e7-4f3c-8180-39e42be376b4","10.46327461877616","51.91369835174287","Parkplatz für 108 an der Straße ","Parkplatz",
"e4dea537-0234-43fa-98d7-24e2a6286004","10.858811141955155","51.8311186237159","Parkplatz für 33 steiler Weg","Parkplatz",
"0fb2c08a-1c21-4fcf-8807-87b2a72ef91d","10.259163","51.728286","Start Hexenstieg - Parkplatz für 140","Kostenloser Großparkplatz. Von hier aus ist man in gut 5 Minuten am Marktplatz. Der Weg in die Altstadt ist sogar vom Parkplatz aus ausgeschildert. Wenn man sich in den hinteren Bereich stellt, könnte man wohl sogar übernachten.",
"f1f5780d-fe32-4d45-a9a6-dde6893290f9","10.929167185522601","51.786003267493705","Parkplatz für 79","Parkplatz",
"229d813c-14f1-4f1a-8942-b3abfcd484a4","11.183249108297272","51.58293272002825","Parkplatz","Parkplatz",
"7448ebd4-2f57-4821-b1fc-86dbf059db4a","10.957228181528311","51.56761669082719","Parkplatz am Bahnhof ","Parkplatz",
"97f7b38f-6449-4a51-aaea-3d6ac71bbde6","11.303787050879377","51.686943253591416","Parkplatz für 202","Parkplatz",
"aa123774-8bcb-4fec-b011-7dd9c18afe3a","10.59449000835631","51.72390842443799","Parkplatz für 148","Parkplatz",
"183bed00-c16b-4300-ac22-d290f6017117","11.014185372896966","51.58747816985526","Parkplatz für 215","Parkplatz",
"01a8a676-c38d-4ba5-887a-118a22c325e2","11.027579831961702","51.60467940372513","Parkplatz für 211","Parkplatz",
"6690be56-5c3c-4dc1-af7e-28b93db9829c","10.273626","51.819961","Wildemann - 21 Im Schwarzewald","Schöner Parkplatz mit direktem Zugang zum Bach. See ist zu Fuß in 3 Minuten zu erreichen, einfach der Beschilderung Hundewald folgen. Bitte lassen Sie keinen Müll herumliegen.",
"d199eb17-cdb0-4a65-b759-10d1d84ea58f","11.056309895875529","51.868860840749576","Parkplatz Klusfelsen Stempel","Parkplatz",
