"ID","validFrom","validTo","longitude","latitude","name","description","image","number","orderBy","isKidFriendly","isElderlyFriendly","isStrollerFriendly","hasVisited","hasToilet","hasFood","myAdjacentStamp","targetForAdjacentStamp","Stampings","groupFilterStampings","groupSize","totalGroupStampings","stampedUserIds","stampedUsers"
"04d2775a-3df1-4b04-b1bd-f32a58dfc192","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.117200000000025","51.49327","An der Queste","An der Queste ~ this will come later: make a get request",,"212","212",,,,,,,,,,,,,,
"5274117e-916a-4e73-8221-fa62aaa5643f","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.014949999999999","51.60758","Kiliansteiche","Kiliansteiche ~ this will come later: make a get request",,"211","211",,,,,,,,,,,,,,
"0259ff01-4856-47d9-83d8-5cccdeba0a91","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.141830000000027","51.50133","Schöne Aussicht Hainrode","Schöne Aussicht Hainrode ~ this will come later: make a get request",,"210","210",,,,,,,,,,,,,,
"44716bae-cd36-4ebe-a943-76c2db7ec0b6","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.270999999999958","51.49308","Moltkewarte (Aussichtsturm)","Moltkewarte (Aussichtsturm) ~ this will come later: make a get request",,"209","209",,,,,,,,,,,,,,
"262523ab-7c1e-4616-b0df-c732587ec4e8","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.314430000000016","51.5345","Burgruine Grillenburg","Burgruine Grillenburg ~ this will come later: make a get request",,"208","208",,,,,,,,,,,,,,
"36ea30c0-c178-495b-a534-45de75f972ba","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.283379999999966","51.7007","Mausoleum","Mausoleum ~ this will come later: make a get request",,"207","207",,,,,,,,,,,,,,
"29ec0eb1-ba1e-48bf-a4e8-e22a435d22cd","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","10.641579999999976","51.67538","Hahnestein","Hahnestein ~ this will come later: make a get request",,"206","206",,,,,,,,,,,,,,
"73d4dd3b-a292-4e48-a395-033c96b37cd6","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.30630999999994","51.66342","Rastplatz unterhalb des Cluesberges","Rastplatz unterhalb des Cluesberges ~ this will come later: make a get request",,"205","205",,,,,,,,,,,,,,
"86e76f05-c2d7-4536-bd47-9fc6ffe731ce","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.254429999999957","51.68547","Selkesicht an der Ackeburg","Selkesicht an der Ackeburg ~ this will come later: make a get request",,"204","204",,,,,,,,,,,,,,
"fc39b54c-8509-4ee3-bd6b-4c38bc7db4a3","1970-01-01T00:00:01.000Z","2037-12-31T23:00:01.000Z","11.23257000000001","51.67912","Schutzhütte am Mettenberg","Schutzhütte am Mettenberg ~ this will come later: make a get request",,"203","203",,,,,,,,,,,,,,
